id,LibraryLayout,Platform,Run,asm_stats_contig_n50,asm_stats_length_bp,asm_stats_n_contig,attribute_package,bioproject_acc,bioproject_title,bioproject_center,biosample_acc,clustered,collected_by,collection_date,epi_type,geo_loc_name,isolation_source,kmer_group,kmer_group_acc,major_contributor,new,sample_name,scientific_name,sort_order,taxid,species_taxid,sra_center,sra_release_date,strain,target_acc,target_creation_date,taxgroup_name,taxgroup_name_short,number_drugs_resistant,number_drugs_intermediate,number_drugs_susceptible,number_drugs_tested,number_amr_genes,AMR_genotypes,property,status,_version_,asm_acc,asm_display_name,asm_level,assembly_method,complete_fl,fullasm_id,host,serotype,wgs_acc_prefix,wgs_master_acc,host_disease,lat_lon,serovar,HHS_region,AST_phenotypes,PFGE_PrimaryEnzyme_pattern,PFGE_SecondaryEnzyme_pattern,isolate_name_alias,erd_group,erd_group_acc,mindiff,minsame,parent_group,cluster_size,tree_node_ids
PDG000000004.826_PDT000003611.1,PAIRED,ILLUMINA,SRR1177217,150332,5172871,131,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442782,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59959,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:00:51Z,AZ-TG59959,PDT000003611.1,2014-02-26T22:03:16Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003612.1,PAIRED,ILLUMINA,SRR1177189,135010,5170099,134,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442784,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59983,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:00:51Z,AZ-TG59983,PDT000003612.1,2014-02-26T22:03:16Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003613.1,PAIRED,ILLUMINA,SRR1177218,199760,4996878,108,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442787,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60279,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:00:51Z,AZ-TG60279,PDT000003613.1,2014-02-26T22:03:16Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,5,"aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003614.1,PAIRED,ILLUMINA,SRR1177195,286699,5401100,123,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442792,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60339,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:00:51Z,AZ-TG60339,PDT000003614.1,2014-02-26T22:03:16Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,4,"ampC, blaEC, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003615.1,PAIRED,ILLUMINA,SRR1177174,105276,4794930,156,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442798,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60734,Escherichia coli,1,562,562,CFSAN,2014-02-26T21:36:11Z,AZ-TG60734,PDT000003615.1,2014-02-26T22:03:16Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003664.1,PAIRED,ILLUMINA,SRR1177289,168888,5293071,137,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442772,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56155,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:18:08Z,AZ-TG56155,PDT000003664.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aac(3)-IId, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003666.1,PAIRED,ILLUMINA,SRR1177290,150332,5180474,134,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442781,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59947,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:19:07Z,AZ-TG59947,PDT000003666.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003668.1,PAIRED,ILLUMINA,SRR1177280,172186,5318726,133,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442788,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60291,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:18:08Z,AZ-TG60291,PDT000003668.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCMY-2, blaEC, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003669.1,PAIRED,ILLUMINA,SRR1177281,196955,5393292,132,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442791,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60327,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:18:08Z,AZ-TG60327,PDT000003669.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,5,"aac(3)-IId, aadA1, blaEC, blaTEM-1, tet(A)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003670.1,PAIRED,ILLUMINA,SRR1177253,150111,5326141,144,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442795,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60375,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:14:09Z,AZ-TG60375,PDT000003670.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,3,"blaCMY-2, blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
